,Value
1654,12
1655,15
1656,13
1657,13
1658,13
1659,18
1660,15
1661,17
1662,16
1663,13
1664,16
1665,16
1666,11
1667,13
1668,10
1669,10
1670,19
1671,11
1672,13
1673,17
1674,19
1675,18
1676,20
1677,22
1678,20
1679,23
1680,14
1681,18
1682,14
1683,18
1684,12
1685,14
1686,15
1687,12
1688,10
1689,13
1690,15
1691,16
1692,10
1693,15
1694,12
1695,11
1696,12
1697,10
1698,11
1699,10
1700,9
1701,9
1702,12
1703,8
1704,12
1705,10
1706,10
1707,12
1708,14
1709,15
1710,13
1711,17
1712,17
1713,14
1714,16
1715,16
1716,16
1717,16
1718,15
1719,10
1720,12
1721,9
1722,15
1723,13
1724,15
1725,15
1726,15
1727,11
1728,11
1729,11
1730,14
1731,9
1732,10
1733,10
1734,12
1735,10
1736,13
1737,15
1738,11
1739,12
1740,14
1741,15
1742,14
1743,14
1744,13
1745,13
1746,13
1747,15
1748,13
1749,15
1750,15
1751,15
1752,13
1753,11
1754,14
1755,16
1756,12
1757,14
1758,13
1759,14
1760,11
1761,13
1762,18
1763,14
1764,11
1765,16
1766,14
1767,12
1768,17
1769,12
1770,15
1771,15
1772,13
1773,15
1774,15
1775,14
1776,14
1777,14
1778,15
1779,16
1780,11
1781,11
1782,11
1783,12
1784,13
1785,13
1786,7
1787,6
1788,6
1789,11
1790,12
1791,6
1792,9
1793,11
1794,12
1795,13
1796,10
1797,10
1798,10
1799,13
1800,11
1801,12
1802,12
1803,10
1804,10
1805,11
1806,17
1807,16
1808,18
1809,19
1810,18
1811,17
1812,16
1813,14
1814,8
1815,15
1816,16
1817,14
1818,13
1819,13
1820,11
1821,13
1822,14
1823,12
1824,11
1825,12
1826,11
1827,11
1828,6
1829,7
1830,9
1831,8
1832,11
1833,8
1834,10
1835,8
1836,11
1837,8
1838,8
1839,8
1840,11
1841,8
1842,10
1843,9
1844,15
1845,10
1846,9
1847,11
1848,10
1849,10
1850,9
1851,13
1852,12
1853,11
1854,8
1855,12
1856,7
1857,9
1858,8
1859,9
1860,13
1861,12
1862,9
1863,10
1864,14
1865,13
1866,12
1867,11
1868,10
1869,8
1870,12
1871,13
1872,13
1873,12
1874,14
1875,12
1876,10
1877,13
1878,9
1879,9
1880,19
1881,15
1882,12
1883,8
1884,11
1885,11
1886,10
1887,8
1888,8
1889,12
1890,10
1891,11
1892,12
1893,14
1894,17
1895,12
1896,15
1897,17
1898,13
1899,11
1900,8
1901,9
1902,8
1903,11
1904,17
1905,12
1906,13
1907,11
1908,11
1909,17
1910,14
1911,18
1912,15
1913,17
1914,11
1915,16
1916,18
1917,20
1918,18
1919,15
1920,18
1921,20
1922,19
1923,20
1924,13
1925,11
1926,13
1927,15
1928,15
1929,13
1930,15
1931,14
1932,14
1933,13
1934,11
1935,15
1936,18
1937,15
1938,14
1939,13
1940,16
1941,16
1942,19
1943,20
1944,11
1945,15
1946,14
1947,13
1948,12
1949,15
1950,15
1951,11
1952,12
1953,11
1954,11
1955,12
1956,19
1957,14
1958,13
1959,11
1960,14
1961,17
1962,19
1963,17
1964,18
1965,17
1966,18
1967,17
1968,20
1969,18
1970,17
1971,10
1972,18
1973,19
1974,15
1975,17
1976,16
1977,17
1978,21
1979,20
1980,22
1981,16
1982,13
1983,15
1984,13
1985,15
1986,16
1987,16
1988,13
1989,14
1990,16
1991,17
1992,17
1993,15
1994,9
1995,9
1996,9
1997,10
1998,12
1999,11
2000,12
2001,11
2002,12
2003,10
2004,11
2005,13
2006,13
2007,17
2008,11
2009,12
2010,14
2011,12
2012,13
2013,14
2014,14
2015,15
2016,17
2017,13
2018,11
2019,11
2020,9
2021,13
2022,14
2023,12
2024,15
2025,15
2026,11
2027,10
2028,13
2029,12
2030,9
2031,6
2032,7
2033,13
2034,9
2035,13
2036,12
2037,9
2038,19
2039,13
2040,17
2041,20
2042,20
2043,18
2044,20
2045,15
2046,15
2047,15
2048,15
2049,10
2050,14
2051,10
2052,9
2053,12
2054,6
2055,16
2056,15
2057,13
2058,10
2059,11
2060,7
2061,11
2062,9
2063,11
2064,7
2065,9
2066,9
2067,8
2068,14
2069,16
2070,12
2071,17
2072,10
2073,12
2074,9
2075,7
2076,6
2077,6
2078,7
2079,18
2080,13
2081,14
2082,15
2083,9
2084,11
2085,12
2086,12
2087,10
2088,8
2089,10
2090,10
2091,15
2092,17
2093,14
2094,11
2095,17
2096,10
2097,19
2098,14
2099,13
2100,15
2101,20
2102,18
2103,9
2104,10
2105,11
2106,10
2107,12
2108,10
2109,13
2110,10
2111,9
2112,9
2113,11
2114,11
2115,18
2116,12
2117,10
2118,13
2119,17
2120,15
2121,13
2122,15
2123,13
2124,12
2125,11
2126,14
2127,17
2128,16
2129,14
2130,13
2131,11
2132,6
2133,6
2134,6
2135,16
2136,14
2137,13
2138,14
2139,19
2140,13
2141,15
2142,17
2143,7
2144,13
2145,13
2146,10
2147,13
2148,10
2149,10
2150,13
2151,13
2152,11
2153,12
2154,11
2155,9
2156,11
2157,15
2158,9
2159,15
2160,11
2161,12
2162,9
2163,16
2164,13
2165,16
2166,10
2167,12
2168,11
2169,14
2170,15
2171,16
2172,15
2173,15
2174,15
2175,11
2176,16
2177,15
2178,14
2179,14
2180,12
2181,10
2182,9
2183,11
2184,14
2185,11
2186,12
2187,12
2188,12
2189,21
2190,16
2191,17
2192,15
2193,13
2194,16
2195,17
2196,14
2197,16
2198,18
2199,16
2200,16
2201,18
2202,20
2203,21
2204,23
2205,21
2206,21
2207,23
2208,20
2209,10
2210,15
2211,20
2212,14
2213,18
2214,21
2215,24
2216,24
2217,23
2218,23
2219,11
2220,10
2221,9
2222,17
2223,18
2224,19
2225,15
2226,22
2227,20
2228,20
2229,15
2230,16
2231,19
2232,17
2233,16
2234,22
2235,22
2236,21
2237,18
2238,21
2239,18
2240,14
2241,16
2242,13
2243,15
2244,16
2245,19
2246,17
2247,15
2248,16
2249,13
2250,16
2251,12
2252,12
2253,13
2254,11
2255,17
2256,15
2257,17
2258,19
2259,14
2260,14
2261,15
2262,15
2263,17
2264,14
2265,15
2266,13
2267,15
2268,14
2269,9
2270,10
2271,9
2272,9
2273,11
2274,10
2275,15
2276,13
2277,9
2278,10
2279,12
2280,10
2281,12
2282,21
2283,20
2284,21
2285,17
2286,19
2287,16
2288,24
2289,20
2290,24
2291,22
2292,20
2293,24
2294,16
2295,15
2296,16
2297,14
2298,11
2299,12
2300,16
2301,20
2302,17
2303,17
2304,21
2305,13
2306,11
2307,12
2308,12
2309,12
2310,12
2311,9
2312,14
2313,11
2314,13
2315,12
2316,11
2317,14
2318,13
2319,22
2320,19
2321,16
2322,17
2323,23
2324,19
2325,23
2326,15
2327,15
2328,16
2329,19
2330,18
2331,17
2332,21
2333,20
2334,13
2335,12
2336,20
2337,22
2338,18
2339,20
2340,17
2341,22
2342,21
2343,21
2344,22
2345,20
2346,18
2347,14
2348,17
2349,16
2350,16
2351,21
2352,7
2353,10
2354,12
2355,14
2356,9
2357,18
2358,23
2359,17
2360,16
2361,18
2362,19
2363,23
2364,19
2365,18
2366,22
2367,18
2368,22
2369,17
2370,16
2371,14
2372,13
2373,18
2374,17
2375,15
2376,17
2377,20
2378,17
2379,18
2380,17
2381,22
2382,23
2383,25
2384,23
2385,21
2386,21
2387,23
2388,19
2389,23
2390,14
2391,11
2392,11
2393,11
2394,12
2395,9
2396,10
2397,11
2398,15
2399,10
2400,14
2401,11
2402,13
2403,13
2404,13
2405,17
2406,16
2407,19
2408,19
2409,17
2410,20
2411,19
2412,20
2413,18
2414,19
2415,16
2416,18
2417,19
2418,17
2419,18
2420,18
2421,18
2422,16
2423,15
2424,20
2425,21
2426,12
2427,8
2428,8
2429,10
2430,15
2431,11
2432,12
2433,10
2434,13
2435,12
2436,16
2437,11
2438,14
2439,12
2440,12
2441,14
2442,13
2443,17
2444,15
2445,8
2446,9
2447,9
2448,9
2449,9
2450,12
2451,6
2452,10
2453,8
2454,10
2455,10
2456,10
2457,10
2458,10
2459,10
2460,8
2461,8
2462,8
2463,9
2464,10
2465,7
2466,6
2467,6
2468,11
2469,9
2470,9
2471,11
2472,12
2473,16
2474,6
2475,9
2476,7
2477,14
2478,16
2479,20
2480,17
2481,22
2482,16
2483,8
2484,7
2485,8
2486,5
2487,9
2488,12
2489,10
2490,9
2491,9
